Species,Bakken,EF-1,EF-2,EF-3,EF-4,EF-5,EF-6,EF-7,EF-8,EF-9,EF-10,EF-11,EF-12,EF-Basin
hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ethylene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
propene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pentene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hexene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heptene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
octene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nonene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methane,0.0811,0.08109982,0.08109982,0.08110489,0.08110489,0.08110489,0.08110073,0.08110042,0.08110057,0.08110144,0.08110195,0.08110131,0.08110824,0.081102414
ethane,0.4692,0.37484425,0.37484425,0.41354306,0.41354306,0.41354306,0.52553297,0.52297933,0.50201351,0.53608441,0.55055098,0.56781109,0.42342386,0.468226153
propane,0.3092,0.33239372,0.33239372,0.27213739,0.27213739,0.27213739,0.2485425,0.24410468,0.24302767,0.21530152,0.20096355,0.17803026,0.15483372,0.247166959
nbutane,0.0784,0.05406174,0.05406174,0.05661487,0.05661487,0.05661487,0.04110511,0.04337588,0.05234442,0.05181322,0.05166158,0.05022641,0.0748363,0.053610918
ibutane,0.0265,0.1088876,0.1088876,0.09585926,0.09585926,0.09585926,0.06452545,0.06506381,0.07010413,0.06187404,0.05786096,0.05321016,0.10580304,0.081982881
pentane,0.0258,0.04164473,0.04164473,0.06369173,0.06369173,0.06369173,0.03106781,0.03414697,0.04019304,0.04527368,0.04856189,0.05569662,0.1083836,0.053140688
hexane,0.0061,0.00668608,0.00668608,0.01672712,0.01672712,0.01672712,0.00669153,0.00784457,0.00934722,0.00603649,0.00413293,0.00397833,0.03096674,0.011045944
heptane,0.0025,0.00038206,0.00038206,0.00032168,0.00032168,0.00032168,0.0014339,0.00138434,0.00186944,0.0025152,0.00516616,0.00994582,0.0206445,0.003724043
octane,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0
